,发现时间,发现数量,观测方法,行星质量,距地距离,轨道周期
179,2005,1 ,径向速度,0.45,52.72,2.2457 
180,2005,1 ,微引力透镜,,,3600.0000 
181,2005,1 ,微引力透镜,,,3500.0000 
182,2006,4 ,径向速度,,15.28,310.5500 
183,2006,3 ,径向速度,0.033,12.58,8.6670 
184,2006,3 ,径向速度,0.038,12.58,31.5600 
185,2006,3 ,径向速度,0.058,12.58,197.0000 
186,2006,3 ,径向速度,1.28,52.88,147.7300 
187,2006,2 ,径向速度,2.1,52.72,1178.4000 
188,2006,1 ,成像,,18.39,
189,2006,1 ,成像,,,
190,2006,1 ,成像,,40.85,
191,2006,1 ,成像,,,730000.0000 
192,2006,1 ,径向速度,7.1,77.4,269.3000 
193,2006,1 ,径向速度,7.6,47.53,594.9000 
194,2006,1 ,径向速度,0.91,8.77,1845.0000 
195,2006,1 ,径向速度,0.94,17.35,989.2000 
196,2006,1 ,径向速度,1.9,36.02,591.9000 
197,2006,1 ,径向速度,1.5,89.13,1214.0000 
198,2006,1 ,径向速度,4.01,46.51,3668.0000 
199,2006,1 ,径向速度,0.33,86.88,18.1790 
200,2006,1 ,径向速度,2.9,10.34,589.6400 
201,2006,1 ,径向速度,1.5,91.16,2.1375 
202,2006,1 ,径向速度,0.45,28.98,4.1138 
203,2006,1 ,径向速度,0.947,18.06,3342.0000 
204,2006,1 ,径向速度,0.94,47.37,6.8380 
205,2006,1 ,径向速度,0.75,44.98,986.0000 
206,2006,1 ,径向速度,0.71,94.07,26.7300 
207,2006,1 ,凌日,,139,4.4653 
208,2006,1 ,凌日,,213,2.4706 
209,2006,1 ,凌日,,8500,4.2000 
210,2006,1 ,凌日,,8500,1.7960 
211,2006,1 ,凌日,,172,3.9415 
212,2006,1 ,微引力透镜,,,3300.0000 
213,2007,5 ,径向速度,0.172,12.53,261.2000 
214,2007,3 ,径向速度,0.396,64.56,346.6000 
215,2007,3 ,径向速度,3,52.83,559.4000 
216,2007,2 ,径向速度,1.894,15.1,692.0000 
217,2007,2 ,径向速度,3.44,53.82,1270.2000 
218,2007,2 ,径向速度,0.85,43.4,194.3000 
219,2007,2 ,径向速度,0.82,43.4,391.9000 
220,2007,1 ,成像,,165,
221,2007,1 ,径向速度,19.4,110.62,326.0300 
222,2007,1 ,径向速度,,31.12,1251.0000 
223,2007,1 ,径向速度,2.8,62.66,136.7500 
224,2007,1 ,径向速度,10.6,,714.3000 
225,2007,1 ,径向速度,0.035,4.54,4.6938 
226,2007,1 ,径向速度,1.56,44.05,526.6200 
227,2007,1 ,径向速度,1.94,100,675.0000 
228,2007,1 ,径向速度,4.6,,359.9000 
229,2007,1 ,径向速度,,78.25,21.2166 
230,2007,1 ,径向速度,2.49,93.2,36.9600 
231,2007,1 ,径向速度,6.1,,851.8000 
232,2007,1 ,径向速度,2.51,80.58,418.2000 
233,2007,1 ,径向速度,2.7,88.26,184.0200 
234,2007,1 ,径向速度,1.16,52.8,383.7000 
235,2007,1 ,径向速度,5.61,70.97,974.0000 
236,2007,1 ,径向速度,10.57,49,359.5546 
237,2007,1 ,径向速度,1.7,50,420.7700 
238,2007,1 ,径向速度,0.67,64.98,1145.0000 
239,2007,1 ,径向速度,1.83,,538.0000 
240,2007,1 ,径向速度,0.61,127.55,297.3000 
241,2007,1 ,径向速度,1.9,54.23,1038.1000 
242,2007,1 ,径向速度,2.5,67.39,351.5000 
243,2007,1 ,径向速度,2.58,32.99,1333.0000 
244,2007,1 ,径向速度,,55.93,354.8000 
245,2007,1 ,径向速度,0.06,81.1,3.8335 
246,2007,1 ,径向速度,3.09,52.88,456.1000 
247,2007,1 ,径向速度,1.08,108.46,141.6000 
248,2007,1 ,径向速度,19.8,,677.8000 
249,2007,1 ,凌日,,135.32,5.6335 
250,2007,1 ,凌日,,138,2.8997 
251,2007,1 ,凌日,,314,3.0565 
252,2007,1 ,凌日,,342,2.7885 
253,2007,1 ,凌日,,261,3.8530 
254,2007,1 ,凌日,,2000,3.9141 
255,2007,1 ,凌日,,,3.9791 
256,2007,1 ,凌日,,,3.6772 
257,2007,1 ,凌日,,228,1.3062 
258,2007,1 ,凌日,,492,3.5539 
259,2007,1 ,凌日,,408,2.5199 
260,2007,1 ,凌日,,147,2.1522 
261,2007,1 ,凌日,,220,1.8468 
262,2007,1 ,凌日,,300,1.3382 
263,2007,1 ,凌日,,148,2.6159 
264,2007,1 ,凌日,,174,3.1915 
265,2007,1 ,脉动时间变化,,,1170.0000 
266,2008,6 ,径向速度,0.0126,12.83,4.3123 
267,2008,6 ,径向速度,0.0208,12.83,9.6184 
268,2008,6 ,径向速度,0.0299,12.83,20.4320 
269,2008,4 ,成像,,39.94,170000.0000 
270,2008,4 ,成像,,39.94,69000.0000 
271,2008,4 ,成像,,39.94,37000.0000 
272,2008,3 ,径向速度,0.0238,26.15,9.3743 
273,2008,3 ,径向速度,0.64,26.15,962.0000 
274,2008,3 ,径向速度,0.54,26.15,2172.0000 
275,2008,2 ,径向速度,0.82,53.82,170.4550 
276,2008,2 ,径向速度,0.0788,33.98,37.9100 
277,2008,2 ,径向速度,0.1872,32.58,226.9300 
278,2008,2 ,径向速度,0.6579,32.58,342.8500 
279,2008,2 ,径向速度,0.07167,37.84,4.0845 
280,2008,2 ,径向速度,0.35061,37.84,1353.6000 
281,2008,2 ,径向速度,7,121.36,2500.0000 
282,2008,2 ,径向速度,3.1548,25.7,201.8300 
283,2008,2 ,径向速度,7.4634,25.7,607.0600 
284,2008,2 ,径向速度,5.9,164.2,127.5800 
285,2008,2 ,径向速度,2.6,164.2,520.0000 
286,2008,2 ,径向速度,3.82,52.83,2950.0000 
287,2008,2 ,日食时间变化,,130.72,5767.0000 
288,2008,2 ,日食时间变化,,130.72,3321.0000 
289,2008,2 ,微引力透镜,,,1825.0000 
290,2008,2 ,微引力透镜,,,5100.0000 
291,2008,1 ,成像,,,
292,2008,1 ,成像,,19.28,6000.0000 
293,2008,1 ,成像,,7.69,318280.0000 
294,2008,1 ,成像,,145,
295,2008,1 ,成像,,,
296,2008,1 ,径向速度,2.21,56.95,874.7740 
297,2008,1 ,径向速度,4.8,76.39,185.8400 
298,2008,1 ,径向速度,10.3,73.1,993.3000 
299,2008,1 ,径向速度,3.88,97.28,479.1000 
300,2008,1 ,径向速度,5.3,97.18,952.7000 
301,2008,1 ,径向速度,5.1,37.54,655.6000 
302,2008,1 ,径向速度,0.64,4.94,3416.0000 
303,2008,1 ,径向速度,0.029,16.82,5.3978 
304,2008,1 ,径向速度,0.0696,25.54,17.2400 
305,2008,1 ,径向速度,1.99,44.5,380.8500 
306,2008,1 ,径向速度,25,37.05,2371.0000 
307,2008,1 ,径向速度,0.47,36.14,43.6000 
308,2008,1 ,径向速度,1.16,87.41,700.0000 
309,2008,1 ,径向速度,3.06,53.05,1260.0000 
310,2008,1 ,径向速度,1.15,96.99,1800.0000 
311,2008,1 ,径向速度,18.15,57.21,1951.0000 
312,2008,1 ,径向速度,9.76,121.36,1125.7000 
313,2008,1 ,径向速度,3.12,59.35,1057.0000 
314,2008,1 ,径向速度,5.76,55.19,103.9500 
315,2008,1 ,径向速度,2.73,51.87,499.4000 
316,2008,1 ,径向速度,5.02,65.79,163.9000 
317,2008,1 ,径向速度,2.7,134.95,323.6000 
318,2008,1 ,径向速度,0.08,63.69,14.4760 
319,2008,1 ,径向速度,1.37,90.33,279.8000 
320,2008,1 ,径向速度,0.0265,9.42,8.7836 
321,2008,1 ,凌日,,,1.5090 
322,2008,1 ,凌日,,200,1.7430 
323,2008,1 ,凌日,,680,4.2568 
324,2008,1 ,凌日,,,9.2021 
325,2008,1 ,凌日,,230,3.0764 
326,2008,1 ,凌日,,480,3.9229 
327,2008,1 ,凌日,,320,2.2047 
328,2008,1 ,凌日,,38,4.8878 
329,2008,1 ,凌日,,,2.4855 
330,2008,1 ,凌日,,300,1.6284 
331,2008,1 ,凌日,,140,4.9547 
332,2008,1 ,凌日,,90,3.0928 
333,2008,1 ,凌日,,121.7,3.7225 
334,2008,1 ,凌日,,,1.0914 
335,2008,1 ,凌日,,160,2.2438 
336,2008,1 ,凌日,,293,4.1251 
337,2008,1 ,凌日,,260,4.1878 
338,2008,1 ,微引力透镜,,,
339,2008,1 ,微引力透镜,,,
340,2009,3 ,径向速度,1.64,14.08,14002.0000 
341,2009,3 ,径向速度,0.016,8.52,4.2150 
342,2009,3 ,径向速度,0.057,8.52,38.0210 
343,2009,3 ,径向速度,0.072,8.52,123.0100 
344,2009,3 ,径向速度,0.058,52.83,4.1547 
345,2009,3 ,径向速度,7.2,52.83,3008.0000 
346,2009,3 ,径向速度,4.05,47.3,1931.0000 
347,2009,3 ,径向速度,0.57,52.88,952.0000 
348,2009,2 ,径向速度,0.045,42.09,5.6000 
349,2009,2 ,径向速度,0.33,42.09,237.6000 
350,2009,2 ,径向速度,21.42,,379.6300 
351,2009,2 ,径向速度,12.47,,621.9900 
352,2009,2 ,径向速度,,150,3.6980 
353,2009,2 ,径向速度,15.2,214,428.5000 
354,2009,2 ,径向速度,0.024,23.44,5.7727 
355,2009,2 ,径向速度,0.7,52.85,30.0520 
356,2009,2 ,径向速度,1.82,52.85,192.9000 
357,2009,2 ,径向速度,0.82,25.65,5000.0000 
358,2009,2 ,径向速度,2.12,42.68,44.2360 
359,2009,2 ,径向速度,6.56,42.68,1008.0000 
360,2009,2 ,径向速度,0.017,43.53,3.9300 
361,2009,2 ,径向速度,0.33,43.53,567.0000 
362,2009,2 ,径向速度,1.42,44.8,345.7200 
363,2009,2 ,凌日,,150,0.8536 
364,2009,2 ,凌日,,214,2.9163 
365,2009,1 ,成像,,12.21,4639.1500 
366,2009,1 ,成像,,25,7336.5000 
367,2009,1 ,成像,,26.67,8679.7000 
368,2009,1 ,径向速度,10.5,119.47,516.2200 
369,2009,1 ,径向速度,9.88,39.43,335.1000 
370,2009,1 ,径向速度,8.78,38.52,428.5000 
371,2009,1 ,径向速度,1.47,50.03,268.9400 
372,2009,1 ,径向速度,0.82,12.12,2288.0000 
373,2009,1 ,径向速度,0.328,10.32,598.3000 
374,2009,1 ,径向速度,2.3,131.41,356.0000 
375,2009,1 ,径向速度,1.96,53.28,777.0000 
376,2009,1 ,径向速度,1.65,55.01,2496.0000 
377,2009,1 ,径向速度,14.2,38.26,1634.0000 
378,2009,1 ,径向速度,1.88,45.52,4218.0000 
379,2009,1 ,径向速度,4.4,59.84,990.0000 
380,2009,1 ,径向速度,14.3,50.18,465.1000 
381,2009,1 ,径向速度,1.373,26.5,1159.2000 
382,2009,1 ,径向速度,3.04,117.37,157.5400 
383,2009,1 ,径向速度,0.79,45.01,1049.0000 
384,2009,1 ,径向速度,10.7,99.4,696.3000 
385,2009,1 ,径向速度,0.64,32.62,358.0000 
386,2009,1 ,径向速度,0.132,33.96,788.0000 
387,2009,1 ,径向速度,0.92,42.48,1695.0000 
388,2009,1 ,径向速度,7,72.57,1475.0000 
389,2009,1 ,径向速度,1.78,18.06,2754.0000 
390,2009,1 ,径向速度,1.78,30.88,2157.0000 
391,2009,1 ,径向速度,0.057,22.09,49.7700 
392,2009,1 ,径向速度,1.2,149.03,507.0000 
393,2009,1 ,径向速度,0.68,84.03,498.9000 
394,2009,1 ,径向速度,0.098,49.33,47.8400 
395,2009,1 ,径向速度,0.186,20.82,55.8060 
396,2009,1 ,径向速度,11.09,97.66,835.4770 
397,2009,1 ,径向速度,0.041,27.45,9.6737 
398,2009,1 ,径向速度,0.38,68.35,1244.0000 
399,2009,1 ,径向速度,1.6,67.61,1840.0000 
400,2009,1 ,径向速度,2,106.38,464.3000 
401,2009,1 ,径向速度,0.85,53.05,1027.0000 
402,2009,1 ,径向速度,0.96,59.28,331.5000 
403,2009,1 ,径向速度,15.5,76.51,2.3910 
404,2009,1 ,径向速度,3,85.18,2097.0000 
405,2009,1 ,径向速度,0.75,55.1,842.0000 
406,2009,1 ,径向速度,2.7,37.98,606.4000 
407,2009,1 ,径向速度,2.6,44.05,1523.0000 
408,2009,1 ,径向速度,7.8,67.02,1290.0000 
409,2009,1 ,径向速度,1.6,114.55,479.0000 
410,2009,1 ,径向速度,3.3,115.47,663.0000 
411,2009,1 ,径向速度,0.37,55.93,956.0000 
412,2009,1 ,径向速度,3.1,189.39,4885.0000 
413,2009,1 ,径向速度,2.2,170.07,610.0000 
414,2009,1 ,径向速度,2.3,121.8,373.3000 
415,2009,1 ,径向速度,6.9,,501.7500 
416,2009,1 ,径向速度,2.54,54.92,2443.0000 
417,2009,1 ,径向速度,9,23.98,17337.5000 
418,2009,1 ,径向速度,2.1,14.9,111.7000 
419,2009,1 ,凌日,,,4.0379 
420,2009,1 ,凌日,,,8.8866 
421,2009,1 ,凌日,,460,95.2738 
422,2009,1 ,凌日,,,1.5804 
423,2009,1 ,凌日,,142.5,3.2131 
424,2009,1 ,凌日,,550,3.2135 
425,2009,1 ,凌日,,,3.5485 
426,2009,1 ,凌日,,,3.2347 
427,2009,1 ,凌日,,,4.8855 
428,2009,1 ,凌日,,,3.3610 
429,2009,1 ,凌日,,155,4.3530 
430,2009,1 ,凌日,,,3.7521 
431,2009,1 ,凌日,,,3.1186 
432,2009,1 ,凌日,,400,3.7354 
433,2009,1 ,凌日,,105.49,0.9415 
434,2009,1 ,凌日,,250,0.7888 
435,2009,1 ,日食时间变化,6.05,,10220.0000 
436,2009,1 ,微引力透镜,,,
437,2009,1 ,微引力透镜,,,
438,2010,6 ,径向速度,0.041,39.39,5.7596 
439,2010,6 ,径向速度,0.038,39.39,16.3567 
440,2010,6 ,径向速度,0.08,39.39,49.7470 
441,2010,6 ,径向速度,0.074,39.39,122.7200 
442,2010,6 ,径向速度,0.067,39.39,602.0000 
443,2010,6 ,径向速度,0.205,39.39,2248.0000 
444,2010,6 ,凌日,,613,10.3039 
445,2010,6 ,凌日,,613,13.0241 
446,2010,6 ,凌日,,613,22.6845 
447,2010,6 ,凌日,,613,31.9996 
448,2010,6 ,凌日,,613,46.6888 
449,2010,6 ,凌日,,613,118.3807 
450,2010,4 ,成像,,39.94,18000.0000 
451,2010,4 ,径向速度,1.059,13.47,3848.8600 
452,2010,4 ,径向速度,0.046,4.7,124.2600 
453,2010,3 ,径向速度,4.95,16.13,1050.3000 
454,2010,3 ,凌日,,650,19.2400 
455,2010,3 ,凌日,,650,38.9100 
456,2010,3 ,凌日,,650,1.5929 
457,2010,2 ,径向速度,1.99,74.79,452.8000 
458,2010,2 ,径向速度,0.86,74.79,883.0000 
459,2010,2 ,径向速度,3.4,90,5584.0000 
460,2010,2 ,径向速度,0.36,17.99,4970.0000 
461,2010,2 ,径向速度,0.27,15.71,263.3000 
462,2010,2 ,径向速度,0.71,15.71,1657.0000 
463,2010,2 ,径向速度,0.77,69.44,75.2900 
464,2010,2 ,径向速度,2.29,69.44,1314.0000 
465,2010,2 ,径向速度,0.15,59.03,110.9000 
466,2010,2 ,径向速度,1.85,68.35,613.8000 
467,2010,2 ,径向速度,0.895,68.35,825.0000 
468,2010,2 ,凌日,,90,10.3385 
469,2010,2 ,日食时间变化,,500,5573.5500 
470,2010,2 ,日食时间变化,,500,2883.5000 
471,2010,1 ,成像,,140,
472,2010,1 ,成像,,145,
473,2010,1 ,成像,,11.43,
474,2010,1 ,成像,,131.93,
475,2010,1 ,成像,,,
476,2010,1 ,径向速度,1.8,20.21,380.8000 
477,2010,1 ,径向速度,0.022,19.8,2.6456 
478,2010,1 ,径向速度,6.1,7.01,533.0000 
479,2010,1 ,径向速度,0.63,56.34,1313.0000 
480,2010,1 ,径向速度,0.95,56.05,1845.0000 
481,2010,1 ,径向速度,1.16,56.18,1117.0000 
482,2010,1 ,径向速度,0.5,53.82,466.0000 
483,2010,1 ,径向速度,,37.78,363.2000 
484,2010,1 ,径向速度,0.6,54.94,327.8000 
485,2010,1 ,径向速度,0.58,50.43,472.0000 
486,2010,1 ,径向速度,0.026,21.3,9.4940 
487,2010,1 ,径向速度,0.05,9.24,122.1000 
488,2010,1 ,径向速度,0.96,121.07,6.4950 
489,2010,1 ,径向速度,0.77,65.62,68.2700 
490,2010,1 ,径向速度,2.9,126.1,176.3000 
491,2010,1 ,径向速度,0.013,24.05,4.6455 
492,2010,1 ,径向速度,0.48,51.81,282.4000 
493,2010,1 ,径向速度,,131.75,396.0300 
494,2010,1 ,径向速度,13,54.92,1319.0000 
495,2010,1 ,径向速度,0.21,29.94,225.7000 
496,2010,1 ,径向速度,0.47,23.8,57.0000 
497,2010,1 ,径向速度,1.25,223.21,16.2000 
498,2010,1 ,径向速度,0.298,11.03,41.3970 
499,2010,1 ,凌日,,380,6.2123 
500,2010,1 ,凌日,,345,13.2406 
501,2010,1 ,凌日,,560,2.9943 
502,2010,1 ,凌日,,1150,2.8280 
503,2010,1 ,凌日,,1060,4.0352 
504,2010,1 ,凌日,,1340,1.5121 
505,2010,1 ,凌日,,205,4.6277 
506,2010,1 ,凌日,,190,10.8635 
507,2010,1 ,凌日,,235,2.7760 
508,2010,1 ,凌日,,166,5.5080 
509,2010,1 ,凌日,,215,4.0088 
510,2010,1 ,凌日,,70,2.8753 
511,2010,1 ,凌日,,254,4.1245 
512,2010,1 ,凌日,,82,3.2122 
513,2010,1 ,凌日,,393,1.2129 
514,2010,1 ,凌日,,396,3.3552 
515,2010,1 ,凌日,,297,3.6528 
516,2010,1 ,凌日,,134,4.2345 
517,2010,1 ,凌日,,1330,3.5225 
518,2010,1 ,凌日,,2700,6.8735 
519,2010,1 ,凌日,,800,3.9051 
520,2010,1 ,凌日,,,1.4200 
521,2010,1 ,凌日,,87,8.1587 
522,2010,1 ,凌日,,242,4.3225 
523,2010,1 ,凌日,,300,3.5327 
524,2010,1 ,凌日,,,2.9444 
525,2010,1 ,凌日,,,2.3412 
526,2010,1 ,凌日,,,3.7648 
527,2010,1 ,凌日,,250,2.7566 
528,2010,1 ,凌日,,,3.4088 
529,2010,1 ,凌日,,70,3.9227 
530,2010,1 ,凌日,,360,3.4059 
